gene_name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,neg_log10_padj
S1PR1,13.764908633890363,-1.098415220542572,0.14948563435595086,-7.347965075540686,2.0124706147756947e-13,2.1742841304232e-11,10.662683703942449
C1R,111.38495178186733,-1.1476532355858788,0.15625034118402292,-7.344964669448221,2.0581345721480613e-13,2.1939714539098334e-11,10.658769027394895
GIMAP7,11.393742406575557,-1.1444784511993606,0.1558122354491264,-7.345241199450217,2.0538837580861718e-13,2.1939714539098334e-11,10.658769027394895
UBE2T,22.721609787425987,1.0519319312164708,0.14324845676445586,7.343408473476035,2.0822180578175777e-13,2.2049448175167594e-11,10.65660227501603
SEPT1,4.7593894872940306,-1.4198086088302284,0.19389614458559865,-7.322521094293499,2.4335504703474795e-13,2.5600310540036972e-11,10.591754766523835
TMC8,4.189283201426746,-1.2734759152058106,0.1739669047912151,-7.320219421815671,2.4756581973359215e-13,2.5873055278040122e-11,10.587152283612564
PCOLCE,42.88738944288924,-1.176711675661608,0.1611487318842627,-7.302022559549052,2.8347372360309675e-13,2.943340805463322e-11,10.531159448616373
EDNRA,8.14410859099966,-1.1495359108081253,0.15785114633974986,-7.282404578386332,3.2792188040257487e-13,3.382884430733659e-11,10.470712838733444
ATP8B2,6.909429579638979,-1.1197141396888635,0.15386523517281042,-7.2772393220033145,3.4072051497072617e-13,3.492385278449943e-11,10.456877851142043
CD1C,1.3667150091409532,-1.8591042463804235,0.25557519889180264,-7.274196613918991,3.484881190313555e-13,3.549251607204697e-11,10.449863212332493
CCR7,4.743508246051671,-1.8929469575815574,0.26031837028899435,-7.271661064411583,3.550936485012892e-13,3.5936376199592493e-11,10.444465718987427
MMRN2,9.819985972406528,-0.967051623922103,0.1330278611089037,-7.269542003162954,3.607083550142663e-13,3.627501004200074e-11,10.440392458664592
LTBP4,46.64591544799657,-1.1032003770986396,0.15183926311232343,-7.265580420279996,3.714398655959503e-13,3.712077156799528e-11,10.430383005399289
FSTL1,81.91227047857072,-1.0699277025041767,0.1473166387497463,-7.2627756890497155,3.792265336133132e-13,3.7663554487434024e-11,10.424078695964775
LSP1,24.617277665861682,-1.086451595413499,0.14968846036711406,-7.258085177367406,3.9260830997793986e-13,3.8751894299674433e-11,10.411707063124437
COL6A2,119.52166513468066,-1.1644568875298977,0.16057322093376503,-7.251874756938614,4.11041893184246e-13,4.032245320255272e-11,10.394453053449402
NISCH,11.137728807312028,-0.6056391280904468,0.08357806338873194,-7.246388628000915,4.2803082661290406e-13,4.148007828812325e-11,10.38216043260923
CDK1,10.637530717575332,1.1026534053660726,0.15215964711145294,7.2466874516238065,4.2708795824611246e-13,4.148007828812325e-11,10.38216043260923
FNBP1,11.15058670375984,-1.2955648717261066,0.1790707749531623,-7.234931953943765,4.657626070614177e-13,4.486472341513295e-11,10.348095005270668
